Store_ID,Store_Name,Channel,State,City,District,Pincode,Latitude,Longitude,Opening_Date,Store_Status,Owner_Type
S000001,"Choudhury, Bakshi and Maharaj",Kirana,Maharashtra,Pune,Pune,321819,29.504964,75.101864,2020-11-08,Active,Independent
S000002,Balan Inc,Convenience Store,Maharashtra,Pune,Pune,389083,20.235733,68.864119,2025-01-15,Active,Independent
S000003,Kannan-Sen,Convenience Store,Maharashtra,Mumbai,Mumbai,026542,13.766292,86.846649,2013-10-28,Closed,Independent
S000004,Chaudry-Chanda,Convenience Store,West Bengal,Kolkata,Kolkata,155940,16.067531,93.209709,2022-02-17,Active,Chain
S000005,"Dash, Radhakrishnan and Brar",Hypermarket,Delhi,New Delhi,New Delhi,959310,12.508905,95.759179,2014-04-03,Closed,Independent
S000006,Buch-Kaul,Pharmacy,Maharashtra,Pune,Pune,647525,10.804775,92.577337,2018-08-03,Closed,Independent
S000007,Loke Ltd,Convenience Store,West Bengal,Kolkata,Kolkata,928327,11.619959,94.746566,2019-05-30,Active,Chain
S000008,Kanda-Nair,Convenience Store,Delhi,New Delhi,New Delhi,305641,13.576369,70.017099,2013-09-05,Active,Chain
S000009,"Murty, Kala and Tata",Supermarket,Maharashtra,Pune,Pune,724238,33.128026,79.023661,2024-11-02,Closed,Chain
S000010,Sangha-Rastogi,Hypermarket,Karnataka,Bengaluru,Bengaluru Urban,328710,18.30285,87.43508,2010-03-25,Active,Independent
S000011,Dutta Ltd,Supermarket,Tamil Nadu,Chennai,Chennai,916697,21.405546,75.828487,2024-07-02,Active,Chain
S000012,Apte-Contractor,Supermarket,Maharashtra,Mumbai,Mumbai,514627,31.832275,91.346328,2006-08-11,Closed,Chain
S000013,"Lall, Tella and Gokhale",Supermarket,Maharashtra,Pune,Pune,489325,34.480948,84.448221,2011-12-30,Closed,Independent
S000014,"Wali, Acharya and Naik",Pharmacy,West Bengal,Kolkata,Kolkata,015430,33.655811,86.642704,2014-09-11,Active,Chain
S000015,"Brar, Chada and Sunder",Supermarket,Karnataka,Bengaluru,Bengaluru Urban,822782,29.60468,83.630341,2015-07-09,Closed,Chain
S000016,"Sampath, Kakar and Zacharia",Supermarket,Delhi,New Delhi,New Delhi,465787,36.922448,72.011621,2010-08-13,Closed,Independent
S000017,Kar Inc,Kirana,Maharashtra,Mumbai,Mumbai,098393,12.432398,72.639478,2006-09-29,Closed,Independent
S000018,Bhargava and Sons,Pharmacy,Gujarat,Ahmedabad,Ahmedabad,051834,25.280764,81.573447,2023-01-06,Closed,Independent
S000019,Zacharia and Sons,Convenience Store,Maharashtra,Pune,Pune,376311,29.775456,90.289363,2021-03-01,Closed,Independent
S000020,Sampath-Roy,Pharmacy,Telangana,Hyderabad,Hyderabad,010651,12.586575,68.094114,2014-12-17,Closed,Independent
S000021,Gupta PLC,Hypermarket,Maharashtra,Pune,Pune,262473,32.408411,82.722224,2009-01-23,Active,Independent
S000022,Chaudhari-Bedi,Supermarket,Delhi,New Delhi,New Delhi,132677,23.641992,90.580168,2013-10-09,Active,Chain
S000023,Bhargava-Gala,Kirana,West Bengal,Kolkata,Kolkata,064746,11.244164,78.526442,2025-05-29,Closed,Independent
S000024,"Sur, Dubey and Gupta",Supermarket,Maharashtra,Mumbai,Mumbai,309805,33.462278,95.461534,2008-06-11,Active,Chain
S000025,Sood PLC,Convenience Store,Maharashtra,Pune,Pune,081219,30.209198,71.723352,2008-10-23,Closed,Independent
S000026,"Keer, Raval and Dar",Convenience Store,Telangana,Hyderabad,Hyderabad,990916,33.300558,80.271,2026-05-11,Active,Independent
S000027,"Virk, Mutti and Lal",Pharmacy,Telangana,Hyderabad,Hyderabad,534624,36.859331,86.846464,2022-01-21,Closed,Chain
S000028,Bora-Andra,Supermarket,Maharashtra,Pune,Pune,991183,14.516223,77.804481,2023-09-17,Active,Independent
S000029,Deo-Palla,Kirana,Maharashtra,Mumbai,Mumbai,354278,28.527387,69.707339,2016-10-16,Active,Independent
S000030,"Wadhwa, Anand and Mistry",Kirana,Delhi,New Delhi,New Delhi,241182,22.910527,76.075841,2015-10-07,Closed,Independent
S000031,Kade-Oza,Convenience Store,Karnataka,Bengaluru,Bengaluru Urban,487401,24.710138,75.04692,2020-11-29,Closed,Chain
