Store_ID,Store_Name,Channel,State,City,District,Pincode,Latitude,Longitude,Opening_Date,Store_Status,Owner_Type
S005728,Nori PLC,Convenience Store,Tamil Nadu,Chennai,Chennai,752221,35.698118,81.1717,2011-12-13,Active,Independent
S008540,"Sundaram, Dash and Natt",Convenience Store,Karnataka,Bengaluru,Bengaluru Urban,168770,24.195029,86.852631,2007-01-16,Active,Independent
S009671,"Yadav, Kala and Pau",Convenience Store,West Bengal,Kolkata,Kolkata,766316,22.442553,88.666361,2009-01-05,Active,Chain
S005088,"Anne, Kanda and Taneja",Convenience Store,West Bengal,Kolkata,Kolkata,646594,34.395174,81.593724,2009-06-25,Active,Independent
S001740,Bera Inc,Convenience Store,Karnataka,Bengaluru,Bengaluru Urban,221224,19.536741,87.069902,2012-08-28,Active,Independent
S002515,Balasubramanian PLC,Convenience Store,Telangana,Hyderabad,Hyderabad,265893,14.210266,89.269017,2015-05-27,Active,Independent
S007004,Rege-Baral,Convenience Store,Tamil Nadu,Chennai,Chennai,65612,26.917941,70.179686,2010-04-26,Closed,Independent
S001621,"Palla, Narang and Dutta",Convenience Store,Telangana,Hyderabad,Hyderabad,650587,31.973906,86.707841,2010-01-25,Closed,Chain
S005170,Badal-Muni,Convenience Store,Karnataka,Bengaluru,Bengaluru Urban,445030,31.392504,95.762132,2006-09-25,Active,Independent
S002573,Narula LLC,Convenience Store,Maharashtra,Mumbai,Mumbai,443183,33.663183,78.478341,2016-09-04,Closed,Independent
S001116,"Nadkarni, Sabharwal and Raman",Convenience Store,Gujarat,Ahmedabad,Ahmedabad,664047,14.510127,95.495167,2013-12-12,Active,Independent
S008033,Tandon LLC,Convenience Store,Karnataka,Bengaluru,Bengaluru Urban,497674,14.104607,70.6107,2008-07-17,Closed,Chain
S003474,Manne-Nigam,Convenience Store,Tamil Nadu,Chennai,Chennai,282767,8.944659,75.512394,2022-11-19,Active,Independent
S002201,Sheth Inc,Convenience Store,Gujarat,Ahmedabad,Ahmedabad,86494,16.604865,79.956178,2012-05-03,Closed,Independent
S005998,Bhargava Ltd,Convenience Store,West Bengal,Kolkata,Kolkata,703659,9.428203,73.017945,2019-03-24,Closed,Independent
S006471,Mangal-Manda,Convenience Store,Telangana,Hyderabad,Hyderabad,547553,27.452232,87.603186,2012-09-20,Closed,Chain
S000506,Deep-Jhaveri,Convenience Store,Maharashtra,Mumbai,Mumbai,983248,21.861681,77.620286,2011-02-06,Active,Independent
S006075,"Varty, Chandra and Rau",Convenience Store,Gujarat,Ahmedabad,Ahmedabad,66688,35.130223,95.798918,2016-08-25,Closed,Chain
S003479,Parekh and Sons,Convenience Store,Gujarat,Ahmedabad,Ahmedabad,898318,22.624516,84.077136,2021-12-01,Closed,Independent
S004349,Suresh-Kanda,Convenience Store,Delhi,New Delhi,New Delhi,830388,32.345593,96.217037,2016-05-07,Active,Chain
S006871,"Sanghvi, Singhal and Lad",Convenience Store,West Bengal,Kolkata,Kolkata,71623,12.454749,72.801776,2011-10-12,Active,Independent
S006438,Zachariah-Chaudhari,Convenience Store,Gujarat,Ahmedabad,Ahmedabad,625969,17.73655,82.691662,2021-09-06,Active,Chain
S005343,Brar-Kade,Convenience Store,Maharashtra,Mumbai,Mumbai,840541,31.790793,85.770082,2019-09-10,Active,Chain
S003113,"Dara, D’Alia and Saha",Convenience Store,Karnataka,Bengaluru,Bengaluru Urban,146446,16.584148,69.97494,2009-04-12,Active,Independent
S004799,"Banik, Keer and Kapadia",Convenience Store,Delhi,New Delhi,New Delhi,142137,32.962628,82.850952,2016-04-27,Active,Chain
S005621,Ghosh-Mannan,Convenience Store,West Bengal,Kolkata,Kolkata,771740,24.623011,72.503529,2020-05-19,Active,Chain
S009021,Shroff Inc,Convenience Store,Telangana,Hyderabad,Hyderabad,98446,18.713903,70.908668,2017-04-17,Closed,Independent
S001973,Cherian-Palan,Convenience Store,West Bengal,Kolkata,Kolkata,302750,23.165515,75.096075,2008-02-09,Active,Independent
S001912,Guha-Barad,Convenience Store,Maharashtra,Pune,Pune,350238,31.406628,94.338115,2018-12-22,Closed,Chain
S004800,Goda-Tara,Convenience Store,Tamil Nadu,Chennai,Chennai,922689,21.554937,88.203621,2015-12-20,Active,Independent
S006026,"Mahajan, Dhar and Shroff",Convenience Store,Tamil Nadu,Chennai,Chennai,696564,15.075673,79.381632,2018-08-02,Active,Chain
S002163,Sarkar-Sridhar,Convenience Store,Tamil Nadu,Chennai,Chennai,620846,18.539032,81.437902,2022-11-28,Closed,Chain
S007167,Kumer-Oommen,Convenience Store,Maharashtra,Pune,Pune,434382,28.088343,77.383011,2018-04-01,Active,Chain
S001511,Bali Ltd,Convenience Store,Gujarat,Ahmedabad,Ahmedabad,348640,13.447592,72.162148,2010-02-15,Closed,Independent
S000343,Vaidya Ltd,Convenience Store,Gujarat,Ahmedabad,Ahmedabad,899441,30.215551,93.628942,2022-11-21,Active,Independent
S002290,Savant Inc,Convenience Store,Gujarat,Ahmedabad,Ahmedabad,850360,25.101033,81.874745,2017-11-24,Active,Chain
S009345,"Bobal, Nigam and Sood",Convenience Store,West Bengal,Kolkata,Kolkata,463970,8.535165,74.174826,2006-12-12,Closed,Independent
S009925,"Solanki, Dewan and Date",Convenience Store,Maharashtra,Mumbai,Mumbai,530336,21.318624,89.491857,2022-11-06,Closed,Chain
S007924,Vohra Ltd,Convenience Store,Delhi,New Delhi,New Delhi,267822,33.826111,78.080984,2015-03-05,Active,Chain
S006247,"Balay, Naik and Patla",Convenience Store,Karnataka,Bengaluru,Bengaluru Urban,870425,8.51469,92.965917,2014-02-05,Closed,Independent
S008359,Dash-Dass,Convenience Store,Gujarat,Ahmedabad,Ahmedabad,630596,8.9881,87.093523,2023-09-17,Closed,Independent
S003802,Yogi-Narula,Convenience Store,Gujarat,Ahmedabad,Ahmedabad,867126,36.723925,71.301094,2017-08-25,Closed,Independent
S002828,Kant Group,Convenience Store,Delhi,New Delhi,New Delhi,91401,31.64328,75.28483,2017-10-19,Closed,Independent
